maximum_nights,extra_people,guests_included,beds,availability_365,accommodates,bedrooms,host_listings_count,host_for,number_of_reviews_ltm,minimum_nights,bathrooms,secure,cleaning_fee,room_type_private_room,host_acceptance_rate,elevator,white_goods,host_response_rate,security_deposit,government,review_scores_value,area_name_salamanca,area_name_san_blas,price
365,15.0,2,0.0,77,2,1.0,1.0,4010,14,1,1.0,0.0,1.0,1,3.0,1.0,1.0,4.0,0.0,1.0,10.0,0,0,70.0
40,8.0,1,1.0,200,1,1.0,2.0,3699,0,4,1.0,0.0,0.0,1,4.0,1.0,1.0,4.0,0.0,1.0,9.0,0,0,17.0
730,10.0,1,5.0,249,6,3.0,9.0,3703,0,15,2.0,0.0,1.0,0,3.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,50.0
730,10.0,2,1.0,364,3,0.0,1.0,3661,7,4,1.0,0.0,1.0,0,3.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,89.0
10,0.0,4,3.0,322,4,2.0,1.0,3661,16,3,1.5,0.0,0.0,0,4.0,1.0,1.0,4.0,1.0,0.0,10.0,0,0,115.0
365,0.0,1,1.0,360,1,1.0,1.0,3634,17,2,1.0,0.0,1.0,1,4.0,1.0,0.0,4.0,0.0,1.0,10.0,0,0,25.0
180,18.0,1,2.0,343,2,1.0,3.0,3607,16,5,1.0,0.0,0.0,0,4.0,1.0,0.0,4.0,0.0,0.0,10.0,0,0,65.0
730,0.0,1,1.0,0,2,1.0,1.0,3605,0,3,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,0.0,0.0,9.0,0,0,54.0
365,20.0,2,1.0,353,4,1.0,1.0,3549,10,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,55.0
180,0.0,1,3.0,352,3,1.0,3.0,3607,19,5,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,0.0,0.0,9.0,0,0,90.0
30,0.0,1,1.0,231,1,1.0,1.0,3431,3,1,1.0,0.0,0.0,1,2.0,1.0,0.0,4.0,0.0,0.0,10.0,0,0,40.0
30,25.0,2,2.0,359,3,1.0,2.0,3418,39,1,1.5,0.0,1.0,1,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,45.0
1125,10.0,1,2.0,330,2,1.0,1.0,3409,13,2,1.0,0.0,0.0,1,4.0,1.0,0.0,4.0,1.0,1.0,9.0,0,0,20.0
365,0.0,1,1.0,5,2,1.0,3.0,3367,23,5,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,60.0
360,20.0,2,3.0,320,4,1.0,5.0,3367,4,28,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,0,0,62.0
360,10.0,2,3.0,261,4,2.0,5.0,3367,2,28,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,0,0,75.0
360,10.0,2,2.0,262,3,2.0,5.0,3367,0,28,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,75.0
365,50.0,2,6.0,174,9,3.0,4.0,3359,30,2,1.5,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,110.0
730,10.0,2,1.0,301,4,1.0,9.0,3350,7,3,1.5,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,85.0
1125,25.0,3,2.0,229,4,1.0,1.0,3341,3,8,1.0,0.0,0.0,0,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,80.0
365,0.0,1,2.0,172,3,1.0,2.0,3335,9,3,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,64.0
365,11.0,1,3.0,292,5,1.0,3.0,3356,10,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,0,0,102.0
365,0.0,1,1.0,0,2,1.0,1.0,3309,0,3,1.0,0.0,1.0,0,4.0,1.0,0.0,4.0,1.0,1.0,9.0,1,0,60.0
1125,10.0,2,1.0,236,2,1.0,1.0,3467,9,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,0.0,0.0,9.0,0,0,60.0
365,50.0,2,3.0,177,5,3.0,4.0,3359,30,2,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,100.0
30,20.0,4,3.0,282,6,2.0,1.0,3291,20,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,112.0
365,10.0,1,1.0,342,2,1.0,1.0,3287,10,2,1.5,0.0,0.0,1,4.0,0.0,1.0,4.0,0.0,1.0,10.0,0,0,55.0
365,20.0,1,2.0,295,3,1.0,4.0,3285,77,1,2.0,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,32.0
365,5.0,1,1.0,231,2,1.0,1.0,3281,7,3,1.0,0.0,0.0,1,2.0,0.0,1.0,4.0,0.0,0.0,9.0,0,0,25.0
365,15.0,1,2.0,364,2,1.0,7.0,3280,1,4,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,0.0,9.0,0,0,29.0
30,20.0,2,1.0,0,2,1.0,1.0,3274,0,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,0.0,1.0,9.0,0,0,60.0
90,0.0,2,1.0,315,2,0.0,5.0,2559,12,3,1.0,0.0,1.0,0,4.0,0.0,0.0,4.0,1.0,1.0,9.0,0,0,65.0
90,0.0,1,1.0,35,1,1.0,1.0,3271,0,3,1.0,0.0,0.0,1,1.0,0.0,1.0,4.0,0.0,0.0,9.0,0,0,20.0
30,0.0,6,3.0,351,6,2.0,12.0,3271,0,3,2.0,0.0,0.0,0,3.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,194.0
730,19.0,1,2.0,333,4,2.0,1.0,3271,6,2,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,99.0
